Supplier,Supply,Product Name,Terminal,Price,Volume Type,Effective Date,Effective Time
By-Lo Oil Company,KMEP,ULSD,IL Wood River,2.105,Not Specified,04/24/25,00:01
By-Lo Oil Company,KMEP,ULSD Dyed,IL Wood River,2.109,Not Specified,04/24/25,00:01
By-Lo Oil Company,KMEP,Unl87 RFG 10%,IL Wood River,2.0255,Not Specified,04/24/25,00:01
By-Lo Oil Company,KMEP,Pre93 RFG 10%,IL Wood River,2.3255,Not Specified,04/24/25,00:01
By-Lo Oil Company,PSX,87E10,"IL, Cahokia",1.9075,Not Specified,04/24/25,00:01
By-Lo Oil Company,PSX,93E10,"IL, Cahokia",2.3575,Not Specified,04/24/25,00:01
By-Lo Oil Company,PSX,ULSD,"IL, Cahokia",9.0,Not Specified,04/24/25,00:01
By-Lo Oil Company,PSX,ULSD Dyed,"IL, Cahokia",9.004,Not Specified,04/24/25,00:01
By-Lo Oil Company,"MG, Marathon",87E10,"IA, Bettendorf",2.042,Not Specified,04/24/25,00:01
By-Lo Oil Company,"MG, Marathon",ULSD,"IA, Bettendorf",2.296,Not Specified,04/24/25,00:01
JDS/STL/JDS,,RFG87E,,2.0575,,04/24/25,00:01
Wallis Oil Company,Gross,Conv 91,BP/Heyworth MG,2.6824,N/A,04/25/25,00:01
Wallis Oil Company,Gross,87E10,BP/Heyworth MG,2.0396,N/A,04/25/25,00:01
Wallis Oil Company,Gross,93E10,BP/Heyworth MG,2.4634,N/A,04/25/25,00:01
Wallis Oil Company,Gross,Conv87,BP/Heyworth MG,2.4537,N/A,04/25/25,00:01
Wallis Oil Company,Gross,Diesel,BP/Heyworth MG,2.1239,N/A,04/25/25,00:01
Wallis Oil Company,Net,RFG87E,BP/Wood River KM,2.0504,N/A,04/25/25,00:01
Wallis Oil Company,Net,RFG93E,BP/Wood River KM,2.3214,N/A,04/25/25,00:01
Wallis Oil Company,Net,87E10,BP/Wood River KM,2.0294,N/A,04/25/25,00:01
Wallis Oil Company,Net,93E10,BP/Wood River KM,2.4622,N/A,04/25/25,00:01
Wallis Oil Company,Net,Diesel,BP/Wood River KM,2.1307,N/A,04/25/25,00:01
Wallis Oil Company,Net,Dyed,BP/Wood River KM,2.1357,N/A,04/25/25,00:01
Wallis Oil Company,Gross,87E10,GM/Ashkum GM,2.022,N/A,04/25/25,00:01
Luke Oil Company,BP-KM-WOODRIVER-IL,RFG 87,BP-KM-WOOD RIVER,2.0463,N/A,04/25/25,00:01
Luke Oil Company,BP-KM-WOODRIVER-IL,87E10,BP-KM-WOOD RIVER,2.0348,N/A,04/25/25,00:01
Luke Oil Company,BP-KM-WOODRIVER-IL,RFG 93,BP-KM-WOOD RIVER,2.3512,N/A,04/25/25,00:01
Luke Oil Company,BP-KM-WOODRIVER-IL,93E10,BP-KM-WOOD RIVER,2.4533,N/A,04/25/25,00:01
Luke Oil Company,BP-KM-WOODRIVER-IL,#2ULSClear,BP-KM-WOOD RIVER,2.1346,N/A,04/25/25,00:01
Luke Oil Company,BP-KM-WOODRIVER-IL,#2ULSDyed,BP-KM-WOOD RIVER,2.1396,N/A,04/25/25,00:01
Luke Oil Company,BP-KM-WOODRIVER-IL,#2ULSWB,BP-KM-WOOD RIVER,2.1546,N/A,04/25/25,00:01
Luke Oil Company,BP-KM-WOODRIVER-IL,#2ULSWBDye,BP-KM-WOOD RIVER,2.1596,N/A,04/25/25,00:01
Luke Oil Company,PH-PH-CAHOKIA-IL,RFG 87,PH-PH-CAHOKIA,2.048,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,87E10,PH-PH-CAHOKIA,2.0373,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,RFG 89,PH-PH-CAHOKIA,2.1394,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,89E10,PH-PH-CAHOKIA,2.2082,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,91E10,PH-PH-CAHOKIA,2.492,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,RFG 93,PH-PH-CAHOKIA,2.3902,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,87E10R,PH-PH-CAHOKIA,2.0373,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,89E10R,PH-PH-CAHOKIA,2.2082,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,91E10R,PH-PH-CAHOKIA,2.492,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,#2ULSWB,PH-PH-CAHOKIA,2.1546,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,#2ULSWBDye,PH-PH-CAHOKIA,2.1596,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,#2ULSClear,PH-PH-CAHOKIA,2.1346,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-CAHOKIA-IL,#2ULSDyed,PH-PH-CAHOKIA,2.1396,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,#2ULSClear,PH-PH-HARTFORD,2.11,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,#2ULSDyed,PH-PH-HARTFORD,2.115,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,#2ULSWB,PH-PH-HARTFORD,2.13,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,#2ULSWBDye,PH-PH-HARTFORD,2.135,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,B11 Clear,PH-PH-HARTFORD,9.0038,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,B11 Dyed,PH-PH-HARTFORD,9.0038,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,B11 WB CLR,PH-PH-HARTFORD,9.0038,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,B11 WB DYE,PH-PH-HARTFORD,9.0038,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,B17 Clear,PH-PH-HARTFORD,2.144,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,B17 Dyed,PH-PH-HARTFORD,2.149,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,B17 WB CLR,PH-PH-HARTFORD,2.164,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-HARTFORD-IL,B17 WB DYE,PH-PH-HARTFORD,2.169,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-KANSAS CITY-KS,#2ULSClear,PH-PH-KANSAS CITY,2.2375,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-KANSAS CITY-KS,#2ULSDyed,PH-PH-KANSAS CITY,2.2425,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-KANSAS CITY-KS,#2ULSWB,PH-PH-KANSAS CITY,2.2575,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-KANSAS CITY-KS,#2ULSWBDye,PH-PH-KANSAS CITY,2.2625,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-KANSAS CITY-KS,B5 Clear,PH-PH-KANSAS CITY,2.2285,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-KANSAS CITY-KS,B5 Dyed,PH-PH-KANSAS CITY,2.2335,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-KANSAS CITY-KS,B5 WB,PH-PH-KANSAS CITY,2.2485,N/A,04/24/25,18:00
Luke Oil Company,PH-PH-KANSAS CITY-KS,B5 WB Dyed,PH-PH-KANSAS CITY,2.2535,N/A,04/24/25,18:00
CVR S&T,ColumbiaMG,87E10,CVR S&T @ ColumbiaMG,2.1149,N/A,04/24/25,18:00
GROWMARK,ColumbiaMG,87E10,GROWMARK @ ColumbiaMG,2.1169,N/A,04/24/25,18:00
SINCLAIR,ColumbiaMG,87E10,SINCLAIR @ ColumbiaMG,2.1169,N/A,04/24/25,18:00
PHILLIPS B,ColumbiaMG,89E10,PHILLIPS B @ ColumbiaMG,2.2621,N/A,04/24/25,18:00
CVR S&T,ColumbiaMG,89E10,CVR S&T @ ColumbiaMG,2.2689,N/A,04/24/25,18:00
